MinX,MaxX,MinY,MaxY
141.1,141.2,-17.0,-16.9
139.8,139.9,-17.8,-17.7
139.9,140.0,-17.8,-17.7
140.0,140.1,-17.8,-17.7
140.1,140.2,-17.8,-17.7
140.2,140.3,-17.8,-17.7
140.3,140.4,-17.8,-17.7
140.4,140.5,-17.8,-17.7
140.9,141.0,-17.1,-17.0
140.6,140.7,-17.8,-17.7
141.0,141.1,-17.1,-17.0
140.9,141.0,-17.2,-17.1
141.0,141.1,-17.2,-17.1
140.9,141.0,-17.3,-17.2
141.0,141.1,-17.3,-17.2
140.8,140.9,-17.4,-17.3
140.9,141.0,-17.4,-17.3
140.7,140.8,-17.5,-17.4
140.8,140.9,-17.5,-17.4
140.9,141.0,-17.5,-17.4
139.7,139.8,-17.6,-17.5
139.8,139.9,-17.6,-17.5
140.5,140.6,-17.6,-17.5
140.6,140.7,-17.6,-17.5
140.7,140.8,-17.6,-17.5
140.8,140.9,-17.6,-17.5
141.2,141.3,-16.4,-16.3
141.2,141.3,-16.5,-16.4
139.7,139.8,-17.7,-17.6
139.8,139.9,-17.7,-17.6
141.2,141.3,-16.6,-16.5
139.9,140.0,-17.7,-17.6
140.2,140.3,-17.7,-17.6
140.3,140.4,-17.7,-17.6
141.1,141.2,-16.7,-16.6
140.4,140.5,-17.7,-17.6
141.2,141.3,-16.7,-16.6
140.5,140.6,-17.7,-17.6
140.6,140.7,-17.7,-17.6
141.0,141.1,-16.8,-16.7
140.7,140.8,-17.7,-17.6
141.1,141.2,-16.8,-16.7
141.2,141.3,-16.8,-16.7
141.0,141.1,-16.9,-16.8
141.1,141.2,-16.9,-16.8
141.0,141.1,-17.0,-16.9
