MinX,MaxX,MinY,MaxY
144.4,144.5,-38.1,-38.0
144.4,144.5,-38.3,-38.2
144.5,144.6,-38.3,-38.2
145.1,145.2,-38.3,-38.2
145.2,145.3,-38.3,-38.2
145.3,145.4,-38.3,-38.2
145.4,145.5,-38.3,-38.2
145.1,145.2,-38.4,-38.3
145.2,145.3,-38.4,-38.3
145.3,145.4,-38.4,-38.3
145.4,145.5,-38.4,-38.3
145.5,145.6,-38.4,-38.3
145.2,145.3,-38.5,-38.4
145.3,145.4,-38.5,-38.4
145.4,145.5,-38.5,-38.4
145.5,145.6,-38.5,-38.4
143.9,144.0,-38.6,-38.5
145.2,145.3,-38.6,-38.5
145.3,145.4,-38.6,-38.5
145.4,145.5,-38.6,-38.5
145.7,145.8,-38.7,-38.6
145.8,145.9,-38.7,-38.6
146.2,146.3,-38.7,-38.6
146.3,146.4,-38.7,-38.6
146.4,146.5,-38.7,-38.6
146.5,146.6,-38.7,-38.6
146.6,146.7,-38.7,-38.6
146.7,146.8,-38.7,-38.6
146.8,146.9,-38.7,-38.6
146.9,147.0,-38.7,-38.6
146.1,146.2,-38.8,-38.7
146.2,146.3,-38.8,-38.7
146.3,146.4,-38.8,-38.7
146.4,146.5,-38.8,-38.7
146.5,146.6,-38.8,-38.7
146.6,146.7,-38.8,-38.7
146.7,146.8,-38.8,-38.7
146.2,146.3,-38.9,-38.8
146.3,146.4,-38.9,-38.8
146.4,146.5,-38.9,-38.8
152.3,152.4,-32.2,-32.1
152.4,152.5,-32.2,-32.1
152.5,152.6,-32.2,-32.1
152.3,152.4,-32.3,-32.2
152.4,152.5,-32.3,-32.2
152.5,152.6,-32.3,-32.2
152.4,152.5,-32.4,-32.3
152.5,152.6,-32.4,-32.3
151.9,152.0,-32.6,-32.5
152.0,152.1,-32.6,-32.5
151.9,152.0,-32.7,-32.6
152.0,152.1,-32.7,-32.6
152.1,152.2,-32.7,-32.6
151.6,151.7,-32.8,-32.7
151.7,151.8,-32.8,-32.7
151.9,152.0,-32.8,-32.7
152.0,152.1,-32.8,-32.7
